Tail Number,System,Sub-System,Registration Time,Closing Time,Validated?,Register Profession,Closer Profession
804,74,W,03/02/2019 11:52,03/02/2019 19:17,TRUE,Pilot,Class B Avionics Tech
837,26,0,03/02/2019 12:22,11/02/2019 14:51,TRUE,Pilot,Class A Heli Struct Sys Tech
966,11,J,03/02/2019 13:57,04/02/2019 12:16,TRUE,Class A Heli Struct Sys Tech,Class A Tech
815,51,A,03/02/2019 15:41,03/02/2019 18:16,TRUE,Pilot,Class A Electricity Tech
961,11,G,03/02/2019 16:10,03/02/2019 19:13,TRUE,Class A Heli Struct Sys Tech,Class B Structurer Tech
842,45,B,04/02/2019 11:04,07/02/2019 15:03,TRUE,Class A Tech,Class B Mechanic
804,26,D,04/02/2019 12:14,04/02/2019 14:15,TRUE,Class A Heli Struct Sys Tech,Class B Structurer Tech
938,26,F,04/02/2019 13:24,04/02/2019 15:54,TRUE,Pilot,Class A Electricity Tech
804,11,J,04/02/2019 14:21,05/02/2019 18:23,TRUE,Class A Tech,Class A Tech
804,11,J,04/02/2019 14:24,05/02/2019 18:22,TRUE,Class A Tech,Class A Tech
820,42,B,04/02/2019 17:50,04/02/2019 17:57,TRUE,Class A Electricity Tech,Class A Electricity Tech
804,12,A,04/02/2019 18:52,05/02/2019 15:37,TRUE,Class A Heli Struct Sys Tech,Class A Heli Struct Sys Tech
967,74,3,04/02/2019 20:31,05/02/2019 11:44,TRUE,Pilot,Class B Avionics Tech
815,51,A,05/02/2019 10:18,05/02/2019 11:57,TRUE,Class A Electricity Tech,Class A Electricity Tech
938,41,A,05/02/2019 11:18,05/02/2019 14:09,TRUE,Class A Electricity Tech,Class A Electricity Tech
828,12,C,05/02/2019 12:08,07/02/2019 21:09,TRUE,Class A Heli Struct Sys Tech,Class A Heli Struct Sys Tech
801,15,A,05/02/2019 13:38,12/02/2019 17:53,TRUE,Class B Mechanic,Class A Airborne Mechanic
830,75,B,05/02/2019 14:35,05/02/2019 14:38,TRUE,Class A Armament Tech,Class A Armament Tech
828,74,1,05/02/2019 15:32,06/02/2019 17:54,TRUE,Class B Avionics Tech,Class B Avionics Tech
830,51,A,05/02/2019 15:58,05/02/2019 17:29,TRUE,Class A Electricity Tech,Class A Electricity Tech
845,26,G,05/02/2019 19:36,06/02/2019 16:06,TRUE,Pilot,Class A Airborne Mechanic
820,11,W,06/02/2019 11:09,06/02/2019 11:54,TRUE,Class A Electricity Tech,Class A Officer
938,11,C,06/02/2019 11:19,06/02/2019 12:17,TRUE,Class A Tech,Class A Tech
842,11,E,06/02/2019 11:44,06/02/2019 15:10,TRUE,Class A Electricity Tech,Class B Structurer Tech
820,44,A,06/02/2019 11:47,06/02/2019 11:48,TRUE,Class A Electricity Tech,Class A Electricity Tech
820,62,E,06/02/2019 12:10,06/02/2019 12:20,TRUE,Class A Electricity Tech,Class B Avionics Tech
830,74,E,06/02/2019 14:24,06/02/2019 14:25,TRUE,Class B Avionics Tech,Class B Avionics Tech
837,62,W,06/02/2019 14:33,07/02/2019 10:04,TRUE,Class A Electricity Tech,Class B Avionics Tech
837,71,E,06/02/2019 17:30,07/02/2019 10:06,TRUE,Class B Avionics Tech,Class B Avionics Tech
966,74,B,06/02/2019 18:46,07/02/2019 11:33,TRUE,Pilot,Class B Avionics Tech
966,44,C,06/02/2019 18:46,10/02/2019 20:31,TRUE,Pilot,Class A Electricity Tech
801,15,B,06/02/2019 18:48,06/02/2019 21:26,TRUE,Class A Heli Struct Sys Tech,Class A Heli Struct Sys Tech
830,76,A,06/02/2019 19:01,07/02/2019 11:18,TRUE,Pilot,Class B Avionics Tech
830,63,A,06/02/2019 19:01,07/02/2019 11:28,TRUE,Pilot,Class B Avionics Tech
830,12,C,06/02/2019 19:01,07/02/2019 17:51,TRUE,Pilot,Class A Officer
830,74,D,06/02/2019 19:01,07/02/2019 11:26,FALSE,Pilot,Class B Avionics Tech
830,74,2,06/02/2019 19:01,07/02/2019 11:32,TRUE,Pilot,Class B Avionics Tech
804,46,F,06/02/2019 20:01,07/02/2019 19:31,TRUE,Pilot,Class A Armament Tech
815,44,B,06/02/2019 20:11,07/02/2019 9:56,TRUE,Pilot,Class A Electricity Tech
820,15,A,06/02/2019 23:05,07/02/2019 15:07,TRUE,Class A Airborne Mechanic,Class A Heli Struct Sys Tech
801,15,A,07/02/2019 15:07,13/02/2019 19:12,TRUE,Class B Structurer Tech,Class A Airborne Mechanic
801,15,A,07/02/2019 15:10,13/02/2019 19:13,TRUE,Class B Structurer Tech,Class A Airborne Mechanic
967,62,E,07/02/2019 16:51,07/02/2019 18:21,TRUE,Class B Avionics Tech,Class B Avionics Tech
967,11,A,07/02/2019 18:03,10/02/2019 22:18,TRUE,Class A Heli Struct Sys Tech,Class A Tech
967,62,F,07/02/2019 18:11,07/02/2019 18:12,FALSE,Class B Avionics Tech,Class B Avionics Tech
842,12,B,08/02/2019 9:52,09/02/2019 20:22,TRUE,Class A Heli Struct Sys Tech,Class A Electricity Tech
967,48,A,08/02/2019 9:54,10/02/2019 20:29,FALSE,Class A Officer,Class A Electricity Tech
967,90,A,08/02/2019 9:55,10/02/2019 14:39,FALSE,Class A Officer,Class B Flight Control Tech
834,44,C,09/02/2019 8:00,17/07/2019 14:23,TRUE,Class A Electricity Tech,Class A Electricity Tech
837,46,D,09/02/2019 19:31,11/02/2019 20:50,TRUE,Class A Tech,Class A Heli Struct Sys Tech
845,11,G,10/02/2019 9:56,10/02/2019 10:00,TRUE,Class A Heli Struct Sys Tech,Class B Structurer Tech
967,42,W,10/02/2019 10:31,10/02/2019 16:33,TRUE,Class A Electricity Tech,Class A Electricity Tech
956,44,C,10/02/2019 12:33,10/02/2019 12:43,TRUE,Class A Electricity Tech,Class A Electricity Tech
828,74,2,10/02/2019 13:38,12/02/2019 16:59,TRUE,Class B Avionics Tech,Class A Officer
842,26,A,10/02/2019 14:13,13/02/2019 15:11,TRUE,Class A Tech,Class A Heli Struct Sys Tech
806,74,D,10/02/2019 14:14,10/02/2019 14:15,TRUE,Class B Avionics Tech,Class B Avionics Tech
956,63,A,10/02/2019 15:48,10/02/2019 15:49,TRUE,Class B Avionics Tech,Class B Avionics Tech
828,74,1,10/02/2019 16:50,10/02/2019 16:52,TRUE,Class B Avionics Tech,Class B Avionics Tech
905,62,E,10/02/2019 17:49,10/02/2019 21:34,TRUE,Pilot,Class B Avionics Tech
966,12,B,10/02/2019 21:52,11/02/2019 9:13,TRUE,Class A Heli Struct Sys Tech,Class A Heli Struct Sys Tech
961,74,1,10/02/2019 21:52,10/02/2019 21:53,TRUE,Class B Avionics Tech,Class B Avionics Tech
840,12,C,11/02/2019 11:05,18/02/2019 11:54,TRUE,Class A Heli Struct Sys Tech,Class A Heli Struct Sys Tech
845,14,H,11/02/2019 14:31,12/02/2019 15:55,TRUE,Pilot,Class B Flight Control Tech
842,47,W,11/02/2019 15:06,11/02/2019 18:32,TRUE,Class A Electricity Tech,Class A Electricity Tech
830,12,C,11/02/2019 15:27,11/02/2019 15:28,TRUE,Class A Electricity Tech,Class A Electricity Tech
812,44,B,11/02/2019 16:02,11/02/2019 16:18,TRUE,Class A Electricity Tech,Class A Electricity Tech
840,11,N,11/02/2019 16:50,18/02/2019 14:59,TRUE,Class A Heli Struct Sys Tech,Class A Tech
806,62,E,11/02/2019 17:11,11/02/2019 17:12,TRUE,Class B Avionics Tech,Class B Avionics Tech
956,74,A,11/02/2019 17:41,11/02/2019 20:26,TRUE,Pilot,Class B Avionics Tech
845,11,E,11/02/2019 19:15,12/02/2019 22:54,TRUE,Class A Tech,Class A Tech
840,11,N,11/02/2019 20:08,18/02/2019 15:01,TRUE,Class A Armament Tech,Class A Tech
